AABBDD_Abo genome	Chr1A_Abo:200-500
AABBDD_AK58 genome	Chr1A_AK58:200-500
AABBDD_AMN genome	Chr1A_AMN:200-500
AABBDD_BJ8 genome	Chr1A_BJ8:200-500
AABBDD_arinalrfor_PGSBv2_1 genome	Chr1A_ArinaLrFor:200-500
AABBDD_Chinese_Spring1_0 genome	Chr1A_Chinese_Spring1.0:200-500
AABBDD_Chinese_Spring2_1 genome	Chr1A_Chinese_Spring1.0:200-500
AABBDD_Chuanmai104 genome	Chr1A_Chuanmai104:200-500
AABBDD_CM42 genome	Chr1A_CM42:200-500
AABBDD_CS_IAAS genome	Chr1A_CS-IAAS_T2T:200-500
AABBDD_CWI86942 genome	Chr1A_CWI86942:200-500
AABBDD_Fielder genome	Chr1A_Fielder:200-500
AABBDD_jagger_PGSBv2_1 genome	Chr1A_Jagger:200-500
AABBDD_JM22 genome	Chr1A_JM22:200-500
AABBDD_JM22_SASS genome	Chr1A_JM22:200-500
AABBDD_JM47 genome	Chr1A_JM47:200-500
AABBDD_julius_PGSBv2_1 genome	Chr1A_Julius:200-500
AABBDD_Kariega genome	Chr1A_Kariega:200-500
AABBDD_KF11 genome	Chr1A_KF11:200-500
AABBDD_KN9204 genome	chr1A_KN9204:200-500
AABBDD_lancer_PGSBv2_1 genome	Chr1A_LongReach_Lancer:200-500
AABBDD_landmark_PGSBv2_1 genome	chr1A_CDC_Landmark:200-500
AABBDD_mace_PGSBv2_1 genome	Chr1A_Mace:200-500
AABBDD_mattis_PGSBv2_1 genome	Chr1A_SY_Mattis:200-500
AABBDD_MZM genome	Chr1A_MZM:200-500
AABBDD_NC4 genome	Chr1A_NC4:200-500
AABBDD_norin61_PGSBv2_1 genome	Chr1A_Norin61:200-500
AABBDD_Renan genome	Chr1A_Renan:200-500
AABBDD_S4185 genome	Chr1A_S4185:200-500
AABBDD_spelta_PGSBv2_0 genome	Chr1A_Triticum_spelta_PI190962:200-500
AABBDD_stanley_PGSBv2_2 genome	chr1A_CDC_Stanley:200-500
AABBDD_Triticum_aestivum_alchemy genome	Chr1A_Triticum_aestivum_alchemy:200-500
AABBDD_Triticum_aestivum_JM44 genome	Chr1A_Triticum_aestivum_JM44:200-500
AABBDD_Triticum_spelta_PI190962 genome	Chr1A_Triticum_spelta_PI190962:200-500
AABBDD_XN6028 genome	Chr1A_XN6028:200-500
AABBDD_XY6 genome	Chr1A_XY6:200-500
AABBDD_YM158 genome	Chr1A_YM158:200-500
AABBDD_YM33 genome	Chr1A_YM33:200-500
AABBDD_Z8425B genome	Chr1A_Z8425B:200-500
AABBDD_Zang1817 genome	Chr1A_Zang1817:200-500
AABBDD_ZM16 genome	Chr1A_ZM16:200-500
AABBDD_ZM22 genome	Chr1A_ZM22:200-500
AABBDD_ZM366 genome	Chr1A_ZM366:200-500
AABB_durum_PI192051 genome	Chr1A_Durum_Wheat:200-500
AABB_Durum_Wheat genome	Chr1A_Durum_Wheat:200-500
AABB_Durum_Wheat_Langdon genome	Chr1A_Durum_Wheat:200-500
AABB_IG77365 genome	Chr1A_IG77365:200-500
AABB_IG99236 genome	Chr1A_IG99236:200-500
AABB_Kronos genome	Chr1A_Kronos:200-500
AABB_NU00021 genome	Chr1A_NU00021:200-500
AABB_NU01905 genome	Chr1A_NU01905:200-500
AABB_NU01954 genome	Chr1A_NU01954:200-500
AABB_PI294478 genome	Chr1A_PI294478:200-500
AABB_PI330553 genome	Chr1A_PI330553:200-500
AABB_Svevo_V2 genome	Chr1A_Svevo_V2:200-500
AABB_Wild_emmerV2 genome	Chr1A_Wild_emmer:200-500
AABB_XM000719 genome	Chr1A_XM000719:200-500
AABB_XM000834 genome	chr1A_XM000834:200-500
AABB_XM001097 genome	Chr1A_XM001097:200-500
AABB_Zavitan genome	Chr1A_Zavitan:200-500
AAGG_Triticum_timopheevii_PI94760 genome	chr1G_Triticum_timopheevii_PI94760:200-500
AA_TA10622 genome	Chr1A_TA10622:200-500
AA_TA299 genome	Chr1A_TA299:200-500
AA_Triticum_monococcum_PI_306540 genome	Chr1A_Triticum_monococcum_PI_306540:200-500
AA_Triticum_urartu genome	Chr1A_Triticum_urartu:200-500
AA_Triticum_urartu_PI428250 genome	Chr1A_Triticum_urartu:200-500
DD_Aegilops_tauschii_AY17 genome	Chr1_Aegilops_tauschii_AY17:200-500
DD_Aegilops_tauschii_AY61 genome	Chr1D_Aegilops_tauschii_AY61:200-500
DD_Aegilops_tauschii_T093 genome	Chr1D_Aegilops_tauschii_T093:200-500
